checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,tanh_saturation_applicable,tanh_generated_candidate_fraction,scaled_boundary_or_outside_fraction,out_of_envelope_fraction,finite,model_family,teacher_kind
200000,1101,actor_local,fixed_state_mirror,0,4,1,1428.574951171875,1419.7420654296875,0,2,0.0,-3.189208984375,2.771240234375,0.0,0.0,5.96044921875,0.8333333333333334,6,1.1064453125,2.6295166015625,1.353759765625,1.265777587890625,0.3333333333333333,6,-0.6,0.0,1.6827481651453422,0.410996181343761,0.23958333333333334,1,1.0,0.23958333333333334,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,1,4,1,1736.2918701171875,1741.6109619140625,2,2,2.914794921875,2.914794921875,1.6025390625,1.0,1.0,-1.312255859375,0.8333333333333334,6,4.68682861328125,4.29833984375,4.29833984375,4.7431640625,1.0,6,1.0,1.0,3.1656509751862356,0.6154497906225749,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,2,4,1,101.7715835571289,113.49263000488281,2,3,9.959053039550781,6.368583679199219,1.4657363891601562,0.6394768311713384,0.6394768311713384,-4.9028472900390625,0.8333333333333334,6,3.603076934814453,0.8832626342773438,3.3515625,3.9343109130859375,0.5,6,0.0,0.0,3.03536067423547,0.8054797338320692,0.010416666666666666,1,1.0,0.010416666666666666,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,3,4,1,1605.1878662109375,1605.4998779296875,1,0,1.4541015625,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6,1.73968505859375,1.70947265625,0.7864990234375,2.488616943359375,0.6666666666666666,6,0.6,0.0,2.5865524917371823,0.8726684502267936,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,4,4,1,1447.971435546875,1426.8839111328125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1.86419677734375,1.3841552734375,1.3841552734375,1.74224853515625,0.6666666666666666,6,0.4,1.0,2.388230648726463,0.7263054203002325,0.22916666666666666,1,1.0,0.22916666666666666,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,5,4,1,1532.2181396484375,1526.2249755859375,0,1,0.0,-1.049560546875,0.2982177734375,0.0,0.0,1.3477783203125,0.8333333333333334,6,1.5086669921875,1.256591796875,1.7607421875,1.71221923828125,0.16666666666666666,6,-0.8,0.0,2.5491587841977976,0.49004097155733395,0.0625,1,1.0,0.0625,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,6,4,1,914.6663208007812,900.4203491210938,0,2,0.0,-1.7613525390625,7.065673828125,0.0,0.0,8.8270263671875,0.3333333333333333,6,5.243865966796875,7.94580078125,3.3724365234375,5.4514923095703125,0.5,6,0.2,0.0,2.0748965099719947,0.3422439188484323,0.34375,1,1.0,0.34375,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,7,4,1,40.93587875366211,38.225345611572266,1,1,4.690765380859375,4.690765380859375,1.4668426513671875,1.0,1.0,-3.2239227294921875,1.0,6,1.8029518127441406,0.51043701171875,0.51043701171875,1.7621526718139648,0.8333333333333334,6,0.8,1.0,3.394742747356816,0.8928857182070392,0.03125,1,1.0,0.03125,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,0,16,1,1428.574951171875,1419.7420654296875,0,14,0.0,-1.0030517578125,3.703857421875,0.0,0.0,4.7069091796875,0.7166666666666667,120,2.77105712890625,6.8388671875,1.353759765625,2.755828857421875,0.525,120,0.07941176470588235,0.0,1.5973896864480217,0.38150813079481843,0.21614583333333334,1,1.0,0.21614583333333334,0.0,1,matched_dsrl_na,target_qa
200000,1101,actor_local,fixed_state_mirror,1,16,1,1736.2918701171875,1741.6109619140625,11,13,4.158935546875,2.5550537109375,2.2646484375,0.6143528030525389,0.6143528030525389,-0.2904052734375,0.6416666666666667,120,4.80718994140625,4.6917724609375,3.36474609375,4.863334655761719,0.6,120,0.24411764705882352,0.0,3.083011142390582,0.6912243889955214,0.013020833333333334,1,1.0,0.013020833333333334,0.0,1,matched_dsrl_na,target_qa
